Knesset_Num,Committee_Name,Committee_Protocol_Num,Date,Member_Name,Speaking_Times,Avg_Neutral,Avg_Positive,Avg_Negative
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אורלי פרומן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,עיסאווי פריג',11,0.906122088,0.09201513,0.001862791
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אלון שוסטר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אנטאנס שחאדה,5,0.989377606,0.010356963,0.000265396
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,מכלוף מיקי זוהר,40,0.970377328,0.026332019,0.003290651
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אלי אבידר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,ניר ברקת,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,צבי האוזר,1,0.999209106,0.000728575,6.24E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אסף זמיר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,תמר זנדברג,5,0.94208256,0.057334843,0.000582583
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אחמד טיבי,23,0.926107654,0.061038581,0.012853762
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אורי מקלב,2,0.737097085,0.183030331,0.079872576
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אופיר סופר,8,0.942940883,0.056589664,0.000469426
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,מנסור עבאס,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,רועי פולקמן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,שלמה קרעי,1,0.990733147,0.008596391,0.000670432
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,פנינה תמנו,3,0.999655445,0.000268905,7.57E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אמיר אוחנה,1,0.999304175,0.000514908,0.000180931
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,דוד אמסלם,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,יעקב אשר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,מיכאל מרדכי ביטון,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,דוד ביטן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אבי גבאי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,איתן גינזבורג,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,יועז הנדל,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,יעקב טסלר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,היבה יזבק,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,מיקי לוי,8,0.915547162,0.081759348,0.002693497
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אוסנת הילה מארק,1,0.999880314,7.60E-05,4.37E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,ע'דיר כמאל מריח,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,3,28/05/2019,אבי ניסנקורן,9,0.997326732,0.00258372,8.95E-05
